, where, what, value
91, GPU[0].SA[10].CU[1], inst_count, 61944.000000000000
92, GPU[0].SA[10].CU[2], inst_count, 61944.000000000000
93, GPU[0].SA[10].CU[3], inst_count, 39320.000000000000
94, GPU[0].SA[11].CU[0], inst_count, 61944.000000000000
95, GPU[0].SA[11].CU[1], inst_count, 71640.000000000000
96, GPU[0].SA[11].CU[2], inst_count, 61944.000000000000
97, GPU[0].SA[11].CU[3], inst_count, 60060.000000000000
98, GPU[0].SA[12].CU[0], inst_count, 71640.000000000000
99, GPU[0].SA[12].CU[1], inst_count, 69216.000000000000
100, GPU[0].SA[12].CU[2], inst_count, 61944.000000000000
101, GPU[0].SA[12].CU[3], inst_count, 60060.000000000000
102, GPU[0].SA[13].CU[0], inst_count, 44436.000000000000
103, GPU[0].SA[13].CU[1], inst_count, 70024.000000000000
104, GPU[0].SA[13].CU[2], inst_count, 61944.000000000000
105, GPU[0].SA[13].CU[3], inst_count, 25584.000000000000
106, GPU[0].SA[14].CU[0], inst_count, 61944.000000000000
107, GPU[0].SA[14].CU[1], inst_count, 61944.000000000000
108, GPU[0].SA[14].CU[2], inst_count, 61944.000000000000
109, GPU[0].SA[14].CU[3], inst_count, 60060.000000000000
110, GPU[0].SA[15].CU[0], inst_count, 61944.000000000000
111, GPU[0].SA[15].CU[1], inst_count, 70832.000000000000
112, GPU[0].SA[15].CU[2], inst_count, 42552.000000000000
113, GPU[0].SA[15].CU[3], inst_count, 49016.000000000000
114, GPU[1].SA[0].CU[0], inst_count, 38475.000000000000
115, GPU[1].SA[0].CU[1], inst_count, 47875.000000000000
116, GPU[1].SA[0].CU[2], inst_count, 47349.000000000000
117, GPU[1].SA[0].CU[3], inst_count, 45127.000000000000
118, GPU[1].SA[1].CU[0], inst_count, 39296.000000000000
119, GPU[1].SA[1].CU[1], inst_count, 45979.000000000000
120, GPU[1].SA[1].CU[2], inst_count, 48002.000000000000
121, GPU[1].SA[1].CU[3], inst_count, 41102.000000000000
122, GPU[1].SA[2].CU[0], inst_count, 39879.000000000000
123, GPU[1].SA[2].CU[1], inst_count, 49742.000000000000
124, GPU[1].SA[2].CU[2], inst_count, 43875.000000000000
125, GPU[1].SA[2].CU[3], inst_count, 39216.000000000000
126, GPU[1].SA[3].CU[0], inst_count, 38225.000000000000
127, GPU[1].SA[3].CU[1], inst_count, 47190.000000000000
128, GPU[1].SA[3].CU[2], inst_count, 43100.000000000000
129, GPU[1].SA[3].CU[3], inst_count, 38521.000000000000
130, GPU[1].SA[4].CU[0], inst_count, 45927.000000000000
131, GPU[1].SA[4].CU[1], inst_count, 51621.000000000000
132, GPU[1].SA[4].CU[2], inst_count, 45491.000000000000
133, GPU[1].SA[4].CU[3], inst_count, 37542.000000000000
134, GPU[1].SA[5].CU[0], inst_count, 35670.000000000000
135, GPU[1].SA[5].CU[1], inst_count, 44819.000000000000
136, GPU[1].SA[5].CU[2], inst_count, 45172.000000000000
137, GPU[1].SA[5].CU[3], inst_count, 39185.000000000000
138, GPU[1].SA[6].CU[0], inst_count, 37874.000000000000
139, GPU[1].SA[6].CU[1], inst_count, 47370.000000000000
140, GPU[1].SA[6].CU[2], inst_count, 44889.000000000000
141, GPU[1].SA[6].CU[3], inst_count, 39173.000000000000
142, GPU[1].SA[7].CU[0], inst_count, 38409.000000000000
143, GPU[1].SA[7].CU[1], inst_count, 50455.000000000000
144, GPU[1].SA[7].CU[2], inst_count, 47337.000000000000
145, GPU[1].SA[7].CU[3], inst_count, 37819.000000000000
146, GPU[1].SA[8].CU[0], inst_count, 40587.000000000000
147, GPU[1].SA[8].CU[1], inst_count, 45199.000000000000
148, GPU[1].SA[8].CU[2], inst_count, 47655.000000000000
149, GPU[1].SA[8].CU[3], inst_count, 37152.000000000000
150, GPU[1].SA[9].CU[0], inst_count, 34005.000000000000
151, GPU[1].SA[9].CU[1], inst_count, 50398.000000000000
152, GPU[1].SA[9].CU[2], inst_count, 47546.000000000000
